Address,Bathrooms,Bedrooms,Home Size,Lat,Lon,Property Size,Year Built,Zestimate,Zipcode
311 E VOLTAIRE AVE,2,4,2258,33.609612,-112.068421,10950,1970,397249,85022
1637 E PALM LN,1,,884,33.469118,-112.046004,6334,1948,226588,85006
10626 W ROMA AVE,2,,1578,33.500517,-112.289629,7288,1984,202070,85037
7145 N 14TH ST,2.33,,1956,33.541437,-112.050862,8860,1966,405274,85020
52 E BEAUTIFUL LN,1,,864,33.375821,-112.070564,6991,1956,149870,85042
3701 E PARADISE DR,2,5,2150,33.595695,-112.001962,7026,1962,385799,85028
1130 E BUTLER DR,2,2,956,33.561138,-112.057836,75286,1972,230675,85020
5813 S 42ND PL,2,2,1097,33.394025,-111.990336,3036,1986,168819,85040
3123 N 52ND ST,4,4,3901,33.484679,-111.968937,39942,1950,1208707,85018
3435 E CHOLLA ST,2,4,2430,33.589463,-112.006755,21725,1972,432621,85028
1720 E MONTE VISTA RD,2,2,800,33.471629,-112.044867,625,1986,219106,85006
4312 N 27TH AVE,1,,1398,33.499153,-112.117438,8377,1954,162928,85017
7625 W WHITTON AVE,1,,1072,33.490161,-112.223875,6582,1961,142631,85033
6145 N 18TH DR,2,4,1749,33.527158,-112.098273,7849,1951,304947,85015
6616 W SADDLEHORN RD,2,4,1854,33.715681,-112.201962,5514,2000,286153,85083
5724 N 25TH ST,,,,33.521797,-112.029458,546,,,85016
3908 W JOAN DE ARC AVE,2,,2063,33.607842,-112.143006,9254,1981,247972,85029
4623 S 23RD LN,3.67,,2348,33.404105,-112.108867,5974,2007,235841,85041
40413 N COPPER BASIN TR,4,,3363,33.851361,-112.109014,11875,2002,470792,85086
4538 N 40TH ST,,,1664,33.503971,-111.995656,10275,1970,,85018
4436 E ARAPAHOE ST,2,,1482,33.333267,-111.987,7684,1975,273562,85044
3136 W KIMBERLY WY,2.33,,1837,33.658215,-112.127574,8997,1980,264880,85027
1920 E MARYLAND AVE,3,2,1455,33.5312,-112.040161,1251,1984,324322,85016
12619 N ROSEWOOD AVE,3,5,3026,33.599635,-112.137229,13089,1970,339459,85029
3713 E YALE ST,2,,1536,33.476146,-112.001952,6003,1954,301749,85008
18438 N 45TH PL,3,,1748,33.654578,-111.983781,3941,1990,303372,85032
4712 E PALM LN,2,,1239,33.469088,-111.979331,6612,1952,258126,85008
4704 E PARADISE VILLAGE PKWY,2,2,1050,33.605728,-111.979031,201403,,287983,85032
1042 E KERRY LN,3,4,1715,33.660831,-112.058596,8935,1985,292268,85024
1106 E SHANGRI LA RD,2,3,1800,33.588251,-112.057827,5873,1996,336248,85020
3846 W CAMINO ACEQUIA,2,,1539,33.575385,-112.142267,9274,1972,215273,85051
3339 W ENCANTO BLVD,2,,1722,33.472873,-112.13207,8002,1946,148133,85009
3010 W POLK ST,1,,1078,33.453594,-112.124319,15000,1940,102929,85009
4640 E VERNON AVE,2,4,1874,33.474038,-111.980864,9927,1955,477021,85008
1517 W GARFIELD ST,1,,1048,33.457397,-112.092045,6250,1920,180501,85007
3305 E WILDWOOD DR,2,3,1439,33.298209,-112.012245,5166,1986,291182,85048
10226 W MINNEZONA AVE,2.33,,1592,33.502774,-112.282242,8651,1983,213635,85037
2166 W SCULLY DR,3,,1520,33.633142,-112.10562,2451,2012,229282,85023
2809 E FRYE RD,3,5,4066,33.296289,-112.022835,129765,1974,899560,85048
1357 W MULBERRY DR,3,4,2770,33.486589,-112.091129,7688,1956,411569,85013
1819 N 40TH ST,2,0,832,33.467861,-111.99448,105916,1972,2584141,85008
21634 N 30TH LN,2,3,1600,33.683225,-112.125763,6292,1997,268847,85027
6301 N 16TH AVE,2,,2348,33.529725,-112.092346,16705,1954,485561,85015
3601 W TIERRA BUENA LN,1,1,619,33.627929,-112.13769,716,1985,72807,85053
8729 N 39TH DR,2,2,1135,33.56497,-112.143542,6015,1962,179621,85051
6754 W DEVONSHIRE AVE,1,2,1008,33.497115,-112.204969,868,1973,80225,85033
7616 N 34TH AVE,2,4,2379,33.548288,-112.131959,10711,1970,255933,85051
3144 N 52ND PKWY,2.67,,1997,33.485847,-112.171795,8185,1956,190215,85031
5810 S 40TH ST,,0,,33.394188,-111.996129,53425,,,85040
3902 E DESERT FLOWER LN,3.67,,2380,33.324644,-111.999988,7832,1988,384186,85044
1218 W SPIRIT DR,5,4,3304,33.856288,-112.088577,10624,2004,562744,85086
4227 N 63RD DR,2,3,1517,33.498185,-112.195806,8398,1960,184017,85033
6543 N 3RD AVE,2,2,2820,33.532446,-112.077893,7187,1962,,85013
3335 W ASTER DR,2,3,1492,33.601967,-112.13159,5998,1960,187389,85029
4031 W SUNNYSIDE AVE,2,,1771,33.592193,-112.146863,7907,1980,238359,85029
2534 W DIANA AVE,2,,1092,33.563415,-112.113801,6329,1958,162946,85021
2929 W YORKSHIRE DR,1,0,658,33.662279,-112.12161,511733,1999,255582,85027
14828 N 29TH AVE,2,3,1225,33.6209,-112.120612,6037,1971,184394,85053
14213 S 35TH PL,3.67,,3009,33.317053,-112.00688,15847,1991,555669,85044
1833 E PALO VERDE DR,2,,1677,33.522703,-112.041505,7566,1952,366231,85016
4111 S 81ST DR,2,3,1389,33.411001,-112.234659,5519,2017,200598,85043
4234 E BRIARWOOD TER,2,3,1700,33.29724,-111.990941,6168,1987,282247,85048
740 W ELM ST,2,2,929,33.507088,-112.0858,,1984,152108,85013
1131 W TUCKEY LN,3.67,,3061,33.533599,-112.0887,28532,1949,615809,85013
1427 E OREGON AVE,1.75,5,1984,33.513523,-112.049996,13068,1954,502134,85014
16430 S 45TH PL,2.67,,1638,33.29647,-111.986211,7196,1988,280860,85048
4132 E FRYE RD,2.5,3,1747,33.298144,-111.993446,4526,1993,295466,85048
509 W MINNEZONA AVE,1,,817,33.502716,-112.080773,6495,1946,287289,85013
3011 W ROMA AVE,1,,1141,33.500569,-112.123601,6508,1954,149820,85017
8014 W MACKENZIE DR,2,5,1436,33.496262,-112.232349,8394,1983,190753,85033
220 E PASARO DR,,0,,33.767675,-112.070272,7500,,,85085
2733 W BOWKER ST,2,3,1400,33.396319,-112.117955,4950,2012,201491,85041
12237 N 21ST AVE,1.5,2,999,33.597717,-112.103539,644,1985,106336,85029
5702 N 19TH DR,2,4,1836,33.521152,-112.101062,7553,1957,223010,85015
5146 E OAK ST,2,2,810,33.473002,-111.969939,906,1983,121616,85008
2140 E CARVER DR,,,,33.403798,-112.03539,7198,,,85040
4242 N 47TH DR,2,,1117,33.498382,-112.161401,7174,1954,167361,85031
2424 E CHERYL DR,3,4,2285,33.578267,-112.029677,10194,1973,471694,85028
7226 W SUNDERLAND AVE,2,4,1896,33.489114,-112.215933,7148,2003,211576,85033
